Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Abciximab (ReoPro) Injection,"Janssen Biotech, Inc.",800-586-7736,2mg/mL (NDC 57894-200-01),Revised,08/15/2019,,Janssen has made a business decision to discontinue manufacture of the drug product.,,,Cardiovascular,To be Discontinued,08/15/2019,08/15/2019,04/11/2018,,,,,,,
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 25 mg (NDC 50419-863-51),New,02/01/2019,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,02/01/2019,02/01/2019,02/01/2019,,,,,,,
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 50 mg (NDC 50419-861-51),New,02/01/2019,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,02/01/2019,02/01/2019,02/01/2019,,,,,,,
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 100 mg (NDC 50419-862-51),New,02/01/2019,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,02/01/2019,02/01/2019,02/01/2019,,,,,,,
Acarbose (Precose) Tablets,Bayer,888-842-2937,Unit Dose 50 mg (NDC 50419-861-48),New,02/01/2019,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,02/01/2019,02/01/2019,02/01/2019,,,,,,,
Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 200mg Capsules 100s (NDC 40076-991-55),New,12/21/2018,,,,,Anti-Infective,To be Discontinued,12/21/2018,12/21/2018,12/21/2018,,,,,,,
Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 400mg Tablets 100s (NDC 40076-949-55),New,12/21/2018,,,,,Anti-Infective,To be Discontinued,12/21/2018,12/21/2018,12/21/2018,,,,,,,
Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,800-796-9526,Acyclovir (Zovirax) 800mg Tablets 100s (NDC 40076-945-55),New,12/21/2018,,,,,Anti-Infective,To be Discontinued,12/21/2018,12/21/2018,12/21/2018,,,,,,,
"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 100 count (NDC 0093-8940-01)",New,03/21/2019,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,03/21/2019,03/21/2019,03/21/2019,,,,,,,
"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 500 count (NDC 0093-8940-05)",New,03/21/2019,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,03/21/2019,03/21/2019,03/21/2019,,,,,,,
