Report ID,Drug Identification Number,Report Type,Brand name,Company Name,Common or Proper name,Ingredients,Strength(s),Packaging size,Route of administration,Shortage status,Dosage form(s),ATC Code,ATC description,Anticipated start date,Actual start date,Estimated end date,Actual end date,Reason,Date Created,Date Updated
75200,437999,Shortage,(20MMOL/L) POTASSIUM CHLORIDE IN 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP,BAXTER CORPORATION,Potassium Chloride in 5% Dextrose Injection,DEXTROSE  POTASSIUM CHLORIDE  SODIUM CHLORIDE,5G  150MG  450MG,1000 mL,INTRAVENOUS,Resolved,SOLUTION,B05BB,I.V. SOLUTIONS,2019-02-08,2019-02-08,2019-02-12,2019-02-12,Demand increase for the drug.,2019-02-08,2019-02-13
34506,1924303,Shortage,0.9% SODIUM CHLORIDE INJECTION USP,B. BRAUN MEDICAL INC,Sodium Chloride,SODIUM CHLORIDE,0.9%,"100mL, 150mL, 250mL, 500mL",INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2017-12-22,2017-12-22,,2019-01-01,Disruption of the manufacture of the drug.,2018-01-02,2019-11-06
91156,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% Sodium Chloride Injection, USP",SODIUM CHLORIDE,900MG,50 mL (JB1301),INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-08-08,2019-08-08,2019-08-29,2019-08-29,Shortage of an active ingredient.,2019-08-08,2019-08-30
91720,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% SODIUM CHLORIDE INJECTION, USP",SODIUM CHLORIDE,900MG,100 mL (JB0043),INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-08-16,2019-08-16,2019-11-08,2019-11-08,Shortage of an active ingredient.,2019-08-16,2019-11-09
91723,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% SODIUM CHLORIDE INJECTION, USP",SODIUM CHLORIDE,900MG,50 mL (JB0042),INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-08-16,2019-08-16,2019-11-08,2019-11-08,Shortage of an active ingredient.,2019-08-16,2019-11-09
98688,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% SODIUM CHLORIDE INJECTION, USP",SODIUM CHLORIDE,900MG,500 mL (JB1323),INTRAVENOUS,Actual shortage,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-11-14,2019-11-14,2019-12-31,,Demand increase for the drug.,2019-11-14,2019-11-15
94411,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% SODIUM CHLORIDE INJECTION, USP",SODIUM CHLORIDE,900MG,50 mL (JB1308M),INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-09-19,2019-09-19,2019-10-09,2019-10-09,Shortage of an active ingredient.,2019-09-19,2019-10-10
85239,60208,Shortage,"0.9% SODIUM CHLORIDE INJECTION, USP",BAXTER CORPORATION,"0.9% SODIUM CHLORIDE INJECTION, USP",SODIUM CHLORIDE,900MG,100 mL,INTRAVENOUS,Resolved,SOLUTION,B05XA,I.V. SOLUTION ADDITIVES,2019-05-29,2019-05-29,2019-08-08,2019-08-08,Shortage of an active ingredient.,2019-05-29,2019-08-09
98048,1963937,Shortage,0.9% SODIUM CHLORIDE IRRIGATION USP,B. BRAUN MEDICAL INC,SODIUM CHLORIDE,,,"500mL, 1000mL, 2000mL, 4000mL",,Actual shortage,,,,,2017-11-03,,,Requirements related to complying with good manufacturing practices.,2019-11-06,2019-11-06
28240,1963937,Shortage,0.9% SODIUM CHLORIDE IRRIGATION USP,B. BRAUN MEDICAL INC,Sodium Chloride,SODIUM CHLORIDE,0.9%,"500mL, 1000mL, 2000mL, 4000mL",IRRIGATION,Actual shortage,SOLUTION,B05CB,IRRIGATING SOLUTIONS,,2017-11-03,,,Requirements related to complying with good manufacturing practices.,2017-11-06,2019-04-04
90888,786160,Shortage,"0.9% SODIUM CHLORIDE IRRIGATION, USP",BAXTER CORPORATION,"0.9% Sodium Chloride Irrigation, USP",SODIUM CHLORIDE,900MG,500 mL,IRRIGATION,Actual shortage,SOLUTION,B05CB,IRRIGATING SOLUTIONS,2019-08-06,2019-08-06,,,Shortage of an active ingredient.,2019-08-06,2019-08-07
43080,436208,Shortage,2% LIDOCAINE HYDROCHLORIDE INJECTION USP,HOSPIRA HEALTHCARE CORPORATION,LIDOCAINE HYDROCHLORIDE LIFESHIELD,LIDOCAINE HYDROCHLORIDE,20MG,10 x 5mL,INTRAVENOUS,Resolved,SOLUTION,C01BB,"ANTIARRHYTHMICS, CLASS I AND III",2018-04-13,,2018-07-13,2018-07-02,Disruption of the manufacture of the drug.,2018-03-16,2018-07-03
